"Species","ESV","Mean_Abundance"
"MOCH","ESV_097125",49.5384615384615
"MOCH","ESV_097616",49.4615384615385
"MOCH","ESV_004517",48.974358974359
"MOCH","ESV_097093",48.0769230769231
"MOCH","ESV_097597",47.7948717948718
"MOCH","ESV_097047",47.6410256410256
"MOCH","ESV_097143",46.3846153846154
"MOCH","ESV_097114",46.1025641025641
"MOCH","ESV_097120",45.6666666666667
"MOCH","ESV_097005",43.0769230769231
"MOCH","ESV_097316",42.6410256410256
"MOCH","ESV_097356",42.3589743589744
"MOCH","ESV_097181",40.1538461538462
"MOCH","ESV_096999",39.3333333333333
"MOCH","ESV_097607",38.974358974359
"MOCH","ESV_083803",34.6666666666667
"MOCH","ESV_097598",34.6410256410256
"MOCH","ESV_097460",34.5641025641026
"MOCH","ESV_097706",34.3846153846154
"MOCH","ESV_097788",34.2820512820513
"MOCH","ESV_096998",33.5897435897436
"MOCH","ESV_097859",33.4615384615385
"MOCH","ESV_097252",33.4615384615385
"MOCH","ESV_096986",31.6153846153846
"MOCH","ESV_097978",31.1025641025641
"MOCH","ESV_097157",29.3589743589744
"MOCH","ESV_097073",28.2564102564103
"MOCH","ESV_019240",28.1282051282051
"MOCH","ESV_097400",28.1025641025641
"MOCH","ESV_030058",27.7692307692308
"MOCH","ESV_097321",27.1538461538462
"MOCH","ESV_097705",26.3333333333333
"MOCH","ESV_097062",25.7948717948718
"MOCH","ESV_097343",25.7948717948718
"MOCH","ESV_097845",25.5128205128205
"MOCH","ESV_097670",25.1794871794872
"MOCH","ESV_097510",25.1282051282051
"MOCH","ESV_097137",24.7692307692308
"MOCH","ESV_004368",23.8205128205128
"MOCH","ESV_097364",23.4102564102564
"MOCH","ESV_097805",22.8461538461538
"MOCH","ESV_097485",22.8205128205128
"MOCH","ESV_097004",22.3076923076923
"MOCH","ESV_097057",21.8974358974359
"MOCH","ESV_097422",21.6153846153846
"MOCH","ESV_097915",21.2307692307692
"MOCH","ESV_097094",20.8717948717949
"MOCH","ESV_092838",20.6410256410256
"MOCH","ESV_097528",20.6153846153846
"MOCH","ESV_097700",20.2307692307692
"MOCH","ESV_097218",20.025641025641
"MOCH","ESV_004824",19.7948717948718
"MOCH","ESV_052871",19.7692307692308
"MOCH","ESV_085228",19.7179487179487
"MOCH","ESV_097882",19.2564102564103
"MOCH","ESV_004502",19.1282051282051
"MOCH","ESV_097910",18.9487179487179
"MOCH","ESV_097516",18.6666666666667
"MOCH","ESV_097027",18.4871794871795
"MOCH","ESV_052914",18.4615384615385
"MOCH","ESV_097699",18.3846153846154
"MOCH","ESV_045340",18.3846153846154
"MOCH","ESV_097653",18.1538461538462
"MOCH","ESV_097624",18.1025641025641
"MOCH","ESV_097233",17.6666666666667
"MOCH","ESV_097981",17.5128205128205
"MOCH","ESV_001811",17.4871794871795
"MOCH","ESV_097590",17.4358974358974
"MOCH","ESV_097824",17.4102564102564
"MOCH","ESV_029824",17.2564102564103
"MOCH","ESV_097419",16.6923076923077
"MOCH","ESV_097931",16.6666666666667
"MOCH","ESV_097796",16.3846153846154
"MOCH","ESV_097655",16.2820512820513
"MOCH","ESV_097074",15.8461538461538
"MOCH","ESV_097740",15.7179487179487
"MOCH","ESV_051965",15.6153846153846
"MOCH","ESV_097517",15.5641025641026
"MOCH","ESV_097039",15.5641025641026
"MOCH","ESV_097124",15.4102564102564
"MOCH","ESV_097909",15.2564102564103
"MOCH","ESV_097667",15.2307692307692
"MOCH","ESV_097543",15.2051282051282
"MOCH","ESV_097747",15.1282051282051
"MOCH","ESV_097625",15.0512820512821
"MOCH","ESV_097686",14.8205128205128
"MOCH","ESV_097866",14.7948717948718
"MOCH","ESV_091786",14.6923076923077
"MOCH","ESV_097384",14.5897435897436
"MOCH","ESV_097813",14.5128205128205
"MOCH","ESV_097722",14.4871794871795
"MOCH","ESV_097059",14.4615384615385
"MOCH","ESV_097452",14.2307692307692
"MOCH","ESV_060629",14.1794871794872
"MOCH","ESV_097469",14.1282051282051
"MOCH","ESV_097856",14
"MOCH","ESV_097969",13.8974358974359
"MOCH","ESV_097221",13.7948717948718
"MOCH","ESV_097975",13.4871794871795
"MOCH","ESV_097347",13.3846153846154
"MOCH","ESV_001855",13.2820512820513
"MOCH","ESV_097190",13.2564102564103
"MOCH","ESV_097091",13.2307692307692
"MOCH","ESV_097204",12.8974358974359
"MOCH","ESV_097454",12.7692307692308
"MOCH","ESV_097572",12.7179487179487
"MOCH","ESV_097231",12.7179487179487
"MOCH","ESV_042052",12.5384615384615
"MOCH","ESV_004512",10.1025641025641
"MOCH","ESV_097370",12.5384615384615
"MOCH","ESV_001861",12.5128205128205
"MOCH","ESV_097868",12.4615384615385
"MOCH","ESV_097134",12.3846153846154
"MOCH","ESV_097922",12.2307692307692
"MOCH","ESV_097599",12.2307692307692
"MOCH","ESV_097621",12.1538461538462
"MOCH","ESV_097097",12.1538461538462
"MOCH","ESV_021454",12.1282051282051
"MOCH","ESV_097710",11.8717948717949
"MOCH","ESV_041709",11.8717948717949
"MOCH","ESV_004816",11.8461538461538
