Species,USGS.Number,Band.Colors,Year,Date,Time.Trapped,Time.Bled,Recap,Site,Location,GPS.S,GPS.E,Elevation.(m),Bander,Sex,How.Sex,Age,How.Age,Release,Bird+Bag.(g),bag.(g),Bird.(g),Wing.(mm),Tarsus.(mm),Tail.(mm),Culmen.(mm),Culmen Depth.(mm),Culmen Width.(mm),Bill+Head.(mm),Hemo,Plasma,Blood,Fecal,Feather,Nest,Nest.Stage,Captured.with,,,,,,,,,,,
BCCH,2830-31994,AYW,2020,24-May,7:00,7:18,N,BLD,Carrie Segil,-,-,-,KCG,M,CP,ASY,Rec,Y,34,23,11,71,18.1,71,8,5.3,5.6,28.5,N,N,Y,N,N,373-2020,chicks,BOO,-,,,,,,,,,,
BCCH,2830-32004,BGW,2020,25-May,18:00,18:06,N,BLD,Taiko H.,-,-,-,KCG,F,BP,ASY,Rec,Y,34,22,12,63,17.4,64,7.4,4.4,4.1,26.7,N,N,Y,N,N,326-2020,chicks,YLA,-,,,,,,,,,,
BCCH,2830-32005,YLA,2020,25-May,18:02,18:15,N,BLD,Taiko H.,-,-,-,KCG,M,CP,ASY,Rec,Y,36,24,12,70,18.1,69,8.1,5.2,5.4,27.9,N,N,Y,N,N,326-2020,chicks,BGW,-,,,,,,,,,,
BCCH,2830-32003,YWA,2020,25-May,17:21,17:29,N,BLD,Jeff M,-,-,-,KCG,F,BP,AHY,Rec,Y,39,23,16,64,17.6,63,7.3,4.5,5.1,27.3,N,N,Y,N,N,266-2020,chicks,Pox #1-2020,-,,,,,,,,,,
BCCH,"Pox1-2020	",Pox #1-2020,2020,25-May,16:52,-,N,BLD,Jeff M,-,-,-,KCG,M,CP,ASY,Rec,Y,37,24,13,-,,,,,,,N,N,Y,N,N,266-2020,chicks,YWA,-,,,,,,,,,,
BCCH,2830-32002,OYB,2020,25-May,11:30,11:40,N,CU,Mackey,-,-,-,KCG,F,BP,ASY,Rec,Y,36,23,13,65,17.1,63,7.5,4.5,5,26.9,N,N,Y,N,N,113-2020,chicks,GYW,-,,,,,,,,,,
BCCH,2830-32001,GSW,2020,25-May,11:12,11:17,N,CU,Mackey,-,-,-,KCG,M,CP,ASY,Rec,Y,35,23,12,70,17,-,6.7,4.5,5.1,27.3,N,N,Y,N,N,118-2020,chicks,OBL,-,,,,,,,,,,
BCCH,2830-32000,OBL,2020,25-May,11:00,11:05,N,CU,Mackey,-,-,-,KCG,F,BP,AHY,Rec,Y,34,22,12,63,15.9,65,6.5,4.2,5,26.2,N,N,Y,N,N,118-2020,chicks,GSW,-,,,,,,,,,,
BCCH,2830-32011,YPY,2020,26-May,10:07,10:15,N,CU,Woodruff Cottage,-,-,-,KCG,F,BP,AHY,Rec,Y,35,-,-,65,17.3,67,7.2,4.3,5.1,27.3,N,N,Y,N,N,119-2020,chicks,OGS,-,,,,,,,,,,
BCCH,2830-32010,BBO,2020,26-May,8:10,8:16,N,BLD,George L.,-,-,-,KCG,F,BP,AHY,Red,Y,34,23,11,66,17.3,67,6.3,4.6,5.1,26.9,N,N,Y,N,N,387-2020,chicks,unk,,,,,,,,,,,
