SampleID,Species,NestID,Site,Year,Elevation,Latitude,Longitude
S115343,MOCH,101-1-2024,SGR,2024,2535.936,-105.47194,40.006879
S115313,BCCH,119-1-2024,BLD,2024,1638.3,-105.274787,40.008455
S115324,MOCH,23-1-2024,MRS,2024,3206.496,-105.565923,40.040418
S115373,MOCH,36-1-2024,MRS,2024,3206.496,-105.568967,40.042104
S115367,BCCH,363-2-2024,BLD,2024,1694.688,-105.513611,39.96
S115372,MOCH,402-5-2024,MRS,2024,2874.264,-105.538305,40.031414
S115362,MOCH,51-1-2024,MRS,2024,3223.26,-105.569505,40.040815
S115344,MOCH,65-3-2024,MRS,2024,3223.26,-105.540053,40.034849
S115318,MOCH,374-3-2024,MRS,2024,2874.264,-105.5358129,40.0309008
S115334,BCCH,286-1-2024,BLD,2024,1655.064,-105.281395,40.034055
S115345,MOCH,149-1-2024,SGR,2024,2537.46,-105.474538,39.992185
